Md;NN;EE;VV;NE;NV;EV;HH;LL;AA;HL;HA;LA
6120;3804,7490;352,7693;238,0674;-989,1005;-37,1843;-98,3386;238,0674;4068,0605;89,4578;-10,4654;104,6118;-6,4088
6150;3864,8291;357,3457;241,6048;-1005,0896;-37,5002;-99,1070;241,6048;4132,4171;89,7577;-10,5716;105,4358;-6,4377
6180;3925,4003;361,9592;245,1700;-1021,2097;-37,8170;-99,8752;245,1700;4197,2999;90,0596;-10,6788;106,2597;-6,4667
6210;3986,4625;366,6098;248,7628;-1037,4609;-38,1346;-100,6431;248,7628;4262,7089;90,3635;-10,7868;107,0837;-6,4957
6240;4048,0159;371,2974;252,3834;-1053,8432;-38,4531;-101,4108;252,3834;4328,6441;90,6693;-10,8958;107,9077;-6,5246
6270;4110,0604;376,0221;256,0317;-1070,3565;-38,7725;-102,1783;256,0317;4395,1055;90,9770;-11,0057;108,7317;-6,5536
6300;4172,5959;380,7840;259,7077;-1087,0009;-39,0927;-102,9456;259,7077;4462,0932;91,2867;-11,1164;109,5557;-6,5826
6330;4235,6226;385,5828;263,4114;-1103,7764;-39,4139;-103,7126;263,4114;4529,6070;91,5984;-11,2281;110,3797;-6,6115
6360;4299,1403;390,4188;267,1428;-1120,6829;-39,7359;-104,4793;267,1428;4597,6471;91,9120;-11,3407;111,2037;-6,6405
6390;4363,1492;395,2918;270,9020;-1137,7205;-40,0588;-105,2459;270,9020;4666,2134;92,2276;-11,4542;112,0277;-6,6695
6420;4427,6491;400,2020;274,6889;-1154,8892;-40,3825;-106,0122;274,6889;4735,3059;92,5452;-11,5685;112,8517;-6,6984
6450;4492,6402;405,1492;278,5034;-1172,1889;-40,7071;-106,7783;278,5034;4804,9246;92,8647;-11,6838;113,6757;-6,7274
6480;4558,1223;410,1334;282,3457;-1189,6197;-41,0326;-107,5441;282,3457;4875,0696;93,1862;-11,8000;114,4997;-6,7564
6510;4624,0956;415,1548;286,2157;-1207,1815;-41,3590;-108,3097;286,2157;4945,7408;93,5096;-11,9171;115,3237;-6,7853
6540;4690,5599;420,2132;290,1135;-1224,8744;-41,6863;-109,0751;290,1135;5016,9381;93,8350;-12,0351;116,1477;-6,8143
6570;4757,5153;425,3087;294,0389;-1242,6984;-42,0144;-109,8402;294,0389;5088,6617;94,1623;-12,1540;116,9716;-6,8433
6600;4824,9619;430,4413;297,9920;-1260,6535;-42,3434;-110,6051;297,9920;5160,9115;94,4917;-12,2739;117,7956;-6,8722
6630;4892,8995;435,6110;301,9729;-1278,7396;-42,6733;-111,3698;301,9729;5233,6876;94,8229;-12,3946;118,6196;-6,9012
6660;4961,3282;440,8177;305,9815;-1296,9567;-43,0040;-112,1342;305,9815;5306,9898;95,1562;-12,5162;119,4436;-6,9301
6690;5030,2481;446,0616;310,0178;-1315,3050;-43,3356;-112,8984;310,0178;5380,8183;95,4913;-12,6387;120,2676;-6,9591
6720;5099,6590;451,3425;314,0818;-1333,7843;-43,6681;-113,6624;314,0818;5455,1730;95,8285;-12,7622;121,0916;-6,9881
6750;5169,5610;456,6604;318,1735;-1352,3946;-44,0015;-114,4262;318,1735;5530,0539;96,1676;-12,8865;121,9156;-7,0170
6780;5239,9541;462,0155;322,2930;-1371,1361;-44,3357;-115,1897;322,2930;5605,4610;96,5087;-13,0118;122,7396;-7,0460
6810;5310,8384;467,4076;326,4401;-1390,0085;-44,6708;-115,9529;326,4401;5681,3943;96,8517;-13,1379;123,5636;-7,0750
6840;5382,2137;472,8368;330,6150;-1409,0121;-45,0068;-116,7159;330,6150;5757,8538;97,1967;-13,2650;124,3876;-7,1039
6870;5454,0801;478,3031;334,8176;-1428,1467;-45,3437;-117,4787;334,8176;5834,8396;97,5436;-13,3929;125,2116;-7,1329
6900;5526,4376;483,8065;339,0479;-1447,4124;-45,6814;-118,2413;339,0479;5912,3516;97,8925;-13,5218;126,0356;-7,1619
6930;5599,2862;489,3469;343,3059;-1466,8092;-46,0200;-119,0036;343,3059;5990,3898;98,2434;-13,6515;126,8596;-7,1908
6960;5672,6259;494,9244;347,5916;-1486,3370;-46,3595;-119,7657;347,5916;6068,9542;98,5962;-13,7822;127,6835;-7,2198
6990;5746,4567;500,5390;351,9051;-1505,9958;-46,6999;-120,5276;351,9051;6148,0448;98,9510;-13,9138;128,5075;-7,2488
7020;5820,7786;506,1907;356,2462;-1525,7858;-47,0411;-121,2892;356,2462;6227,6616;99,3077;-14,0463;129,3315;-7,2777
7050;5895,5916;511,8795;360,6151;-1545,7068;-47,3832;-122,0506;360,6151;6307,8047;99,6664;-14,1797;130,1555;-7,3067
7080;5970,8957;517,6053;365,0117;-1565,7589;-47,7262;-122,8118;365,0117;6388,4740;100,0271;-14,3139;130,9795;-7,3357
7110;6046,6909;523,3682;369,4360;-1585,9420;-48,0701;-123,5727;369,4360;6469,6695;100,3897;-14,4491;131,8035;-7,3646
7140;6122,9772;529,1682;373,8881;-1606,2562;-48,4148;-124,3334;373,8881;6551,3912;100,7543;-14,5852;132,6275;-7,3936
7170;6199,7546;535,0053;378,3678;-1626,7015;-48,7604;-125,0938;378,3678;6633,6391;101,1208;-14,7223;133,4515;-7,4225
7200;6277,0231;540,8794;382,8752;-1647,2778;-49,1069;-125,8541;382,8752;6716,4132;101,4893;-14,8602;134,2755;-7,4515
7230;6354,7827;546,7906;387,4104;-1667,9852;-49,4542;-126,6141;387,4104;6799,7136;101,8597;-14,9990;135,0995;-7,4805
7260;6433,0334;552,7389;391,9733;-1688,8236;-49,8024;-127,3738;391,9733;6883,5402;102,2321;-15,1387;135,9235;-7,5094
7290;6511,7752;558,7243;396,5639;-1709,7932;-50,1515;-128,1333;396,5639;6967,8930;102,6065;-15,2793;136,7475;-7,5384
7320;6591,0081;564,7468;401,1822;-1730,8937;-50,5015;-128,8926;401,1822;7052,7720;102,9829;-15,4208;137,5715;-7,5674
7350;6670,7320;570,8063;405,8282;-1752,1254;-50,8524;-129,6517;405,8282;7138,1772;103,3611;-15,5633;138,3954;-7,5963
7380;6750,9471;576,9029;410,5020;-1773,4881;-51,2041;-130,4105;410,5020;7224,1086;103,7414;-15,7066;139,2194;-7,6253
7410;6831,6533;583,0366;415,2034;-1794,9819;-51,5567;-131,1691;415,2034;7310,5663;104,1236;-15,8509;140,0434;-7,6543
7440;6912,8506;589,2074;419,9326;-1816,6067;-51,9101;-131,9274;419,9326;7397,5501;104,5078;-15,9960;140,8674;-7,6832
7470;6994,5389;595,4152;424,6895;-1838,3626;-52,2645;-132,6855;424,6895;7485,0602;104,8939;-16,1421;141,6914;-7,7122
7500;7076,7184;601,6601;429,4741;-1860,2496;-52,6197;-133,4434;429,4741;7573,0965;105,2820;-16,2890;142,5154;-7,7412
7530;7159,3890;607,9421;434,2864;-1882,2676;-52,9758;-134,2010;434,2864;7661,6591;105,6720;-16,4369;143,3394;-7,7701
7560;7242,5506;614,2612;439,1264;-1904,4167;-53,3327;-134,9585;439,1264;7750,7478;106,0640;-16,5856;144,1634;-7,7991
7590;7326,2034;620,6174;443,9942;-1926,6969;-53,6906;-135,7156;443,9942;7840,3627;106,4580;-16,7353;144,9874;-7,8281
7620;7410,3473;627,0106;448,8897;-1949,1081;-54,0493;-136,4726;448,8897;7930,5039;106,8539;-16,8859;145,8114;-7,8570
7650;7494,9822;633,4409;453,8128;-1971,6504;-54,4089;-137,2293;453,8128;8021,1713;107,2518;-17,0374;146,6354;-7,8860
7680;7580,1083;639,9083;458,7637;-1994,3238;-54,7693;-137,9858;458,7637;8112,3649;107,6516;-17,1898;147,4594;-7,9149
7710;7665,7254;646,4127;463,7423;-2017,1282;-55,1307;-138,7420;463,7423;8204,0847;108,0534;-17,3431;148,2834;-7,9439
7740;7751,8337;652,9543;468,7487;-2040,0637;-55,4929;-139,4980;468,7487;8296,3308;108,4572;-17,4973;149,1073;-7,9729
7770;7838,4330;659,5329;473,7827;-2063,1302;-55,8559;-140,2538;473,7827;8389,1030;108,8629;-17,6524;149,9313;-8,0018
7800;7925,5235;666,1486;478,8445;-2086,3278;-56,2199;-141,0093;478,8445;8482,4015;109,2706;-17,8084;150,7553;-8,0308
7830;8013,1050;672,8014;483,9339;-2109,6565;-56,5847;-141,7646;483,9339;8576,2262;109,6802;-17,9653;151,5793;-8,0598
7860;8101,1777;679,4912;489,0511;-2133,1163;-56,9504;-142,5197;489,0511;8670,5771;110,0918;-18,1231;152,4033;-8,0887
7890;8189,7414;686,2182;494,1960;-2156,7071;-57,3170;-143,2745;494,1960;8765,4542;110,5054;-18,2818;153,2273;-8,1177
7920;8278,7962;692,9822;499,3686;-2180,4289;-57,6845;-144,0291;499,3686;8860,8575;110,9209;-18,4414;154,0513;-8,1467
7950;8368,3422;699,7833;504,5690;-2204,2819;-58,0528;-144,7835;504,5690;8956,7871;111,3384;-18,6019;154,8753;-8,1756
7980;8458,3792;706,6214;509,7970;-2228,2659;-58,4220;-145,5376;509,7970;9053,2428;111,7578;-18,7634;155,6993;-8,2046
8000;8518,6721;711,2005;513,2943;-2244,3268;-58,6686;-146,0403;513,2943;9117,8341;112,0385;-18,8715;156,2486;-8,2239
