Md;NN;EE;VV;NE;NV;EV;HH;LL;AA;HL;HA;LA
1500;2,2750;2,4773;1,1572;0,0823;-0,0354;-0,0883;2,4080;2,2475;1,2541;-0,0233;0,3608;0,0036
1530;2,4663;2,6338;1,2196;0,0783;-0,0472;-0,1219;2,5496;2,4384;1,3317;-0,0293;0,4074;0,0033
1560;2,7059;2,8048;1,2871;0,0653;-0,0613;-0,1627;2,7040;2,6799;1,4139;-0,0361;0,4578;0,0027
1590;3,0045;2,9908;1,3603;0,0407;-0,0780;-0,2113;2,8714;2,9832;1,5010;-0,0438;0,5127;0,0016
1620;3,3741;3,1925;1,4400;0,0010;-0,0975;-0,2685;3,0520;3,3614;1,5931;-0,0524;0,5726;0,0001
1650;3,8283;3,4105;1,5269;-0,0574;-0,1200;-0,3348;3,2460;3,8290;1,6907;-0,0620;0,6381;-0,0021
1680;4,3822;3,6454;1,6220;-0,1386;-0,1457;-0,4109;3,4535;4,4021;1,7940;-0,0726;0,7099;-0,0048
1710;5,0523;3,8980;1,7261;-0,2472;-0,1749;-0,4974;3,6745;5,0986;1,9034;-0,0842;0,7885;-0,0083
1740;5,8567;4,1688;1,8402;-0,3882;-0,2077;-0,5947;3,9087;5,9378;2,0193;-0,0968;0,8746;-0,0126
1770;6,8149;4,4585;1,9654;-0,5671;-0,2443;-0,7033;4,1560;6,9406;2,1422;-0,1105;0,9689;-0,0178
1800;7,9476;4,7677;2,1027;-0,7896;-0,2850;-0,8237;4,4161;8,1294;2,2725;-0,1251;1,0718;-0,0239
1830;9,2767;5,0971;2,2532;-1,0619;-0,3297;-0,9561;4,6885;9,5277;2,4109;-0,1406;1,1839;-0,0310
1860;10,8254;5,4473;2,4181;-1,3906;-0,3787;-1,1007;4,9727;11,1604;2,5577;-0,1571;1,3058;-0,0392
1890;12,6175;5,8191;2,5985;-1,7823;-0,4320;-1,2577;5,2681;13,0532;2,7137;-0,1744;1,4379;-0,0485
1920;14,6775;6,2131;2,7956;-2,2441;-0,4897;-1,4271;5,5741;15,2325;2,8794;-0,1925;1,5807;-0,0589
1950;17,0303;6,6297;3,0105;-2,7831;-0,5517;-1,6089;5,8899;17,7252;3,0556;-0,2113;1,7346;-0,0706
1980;19,7012;7,0698;3,2445;-3,4064;-0,6181;-1,8029;6,2145;20,5583;3,2427;-0,2307;1,9000;-0,0835
2010;22,7152;7,5336;3,4987;-4,1212;-0,6887;-2,0088;6,5471;23,7588;3,4416;-0,2506;2,0772;-0,0977
2040;26,0968;8,0218;3,7742;-4,9346;-0,7634;-2,2263;6,8866;27,3533;3,6529;-0,2708;2,2663;-0,1132
2070;29,8699;8,5348;4,0721;-5,8535;-0,8421;-2,4549;7,2319;31,3675;3,8774;-0,2912;2,4676;-0,1300
2100;34,0575;9,0728;4,3935;-6,8846;-0,9246;-2,6939;7,5819;35,8262;4,1158;-0,3116;2,6811;-0,1480
2130;38,6197;9,6315;4,7205;-8,0174;-1,0078;-2,9320;8,1102;40,6866;4,1750;-0,3378;2,7780;-0,1558
2160;43,5015;10,2181;5,0688;-9,2337;-1,0943;-3,1785;8,6634;45,8888;4,2362;-0,3651;2,8727;-0,1636
2190;48,7030;10,8344;5,4363;-10,5331;-1,1844;-3,4342;9,2417;51,4328;4,2992;-0,3936;2,9673;-0,1714
2220;54,2242;11,4804;5,8232;-11,9156;-1,2779;-3,6993;9,8449;57,3186;4,3643;-0,4232;3,0617;-0,1791
2250;60,0651;12,1562;6,2295;-13,3810;-1,3750;-3,9736;10,4730;63,5463;4,4314;-0,4541;3,1560;-0,1869
2280;66,2257;12,8617;6,6551;-14,9295;-1,4757;-4,2571;11,1262;70,1158;4,5006;-0,4861;3,2501;-0,1947
2310;72,7061;13,5970;7,1001;-16,5611;-1,5798;-4,5499;11,8043;77,0271;4,5718;-0,5192;3,3441;-0,2025
2340;79,5062;14,3621;7,5645;-18,2756;-1,6875;-4,8519;12,5074;84,2802;4,6452;-0,5536;3,4379;-0,2103
2370;86,6260;15,1570;8,0482;-20,0732;-1,7987;-5,1632;13,2354;91,8751;4,7208;-0,5891;3,5316;-0,2181
2400;94,0656;15,9817;8,5514;-21,9537;-1,9134;-5,4836;13,9884;99,8118;4,7985;-0,6258;3,6252;-0,2259
2430;101,8249;16,8364;9,0740;-23,9173;-2,0317;-5,8132;14,7664;108,0904;4,8784;-0,6636;3,7187;-0,2337
2460;109,9039;17,7209;9,6159;-25,9638;-2,1534;-6,1520;15,5694;116,7107;4,9606;-0,7026;3,8119;-0,2414
2490;118,3027;18,6353;10,1773;-28,0934;-2,2786;-6,4999;16,3973;125,6729;5,0451;-0,7428;3,9051;-0,2492
2520;127,0212;19,5797;10,7581;-30,3059;-2,4074;-6,8570;17,2502;134,9769;5,1319;-0,7842;3,9981;-0,2570
2550;136,0594;20,5541;11,3584;-32,6014;-2,5396;-7,2232;18,1281;144,6227;5,2211;-0,8267;4,0910;-0,2648
2580;145,4174;21,5584;11,9781;-34,9799;-2,6753;-7,5986;19,0309;154,6104;5,3126;-0,8704;4,1837;-0,2726
2610;155,0951;22,5928;12,6173;-37,4413;-2,8145;-7,9830;19,9587;164,9398;5,4066;-0,9153;4,2764;-0,2804
2640;165,0926;23,6572;13,2759;-39,9857;-2,9572;-8,3765;20,9115;175,6111;5,5031;-0,9613;4,3688;-0,2882
2670;175,4098;24,7516;13,9540;-42,6131;-3,1034;-8,7791;21,8892;186,6241;5,6020;-1,0085;4,4611;-0,2959
2700;186,0468;25,8762;14,6515;-45,3233;-3,2530;-9,1907;22,8920;197,9790;5,7035;-1,0569;4,5533;-0,3037
2730;197,0035;27,0308;15,3686;-48,1165;-3,4061;-9,6114;23,9196;209,6757;5,8075;-1,1064;4,6454;-0,3115
