Md;NN;EE;VV;NE;NV;EV
2790;219,8761;29,4306;16,8612;-53,9517;-3,7227;-10,4798
2820;231,7921;30,6758;17,6368;-56,9937;-3,8862;-10,9275
2850;244,0278;31,9512;18,4319;-60,1186;-4,0532;-11,3842
2880;256,5833;33,2568;19,2466;-63,3264;-4,2236;-11,8498
2910;269,4586;34,5927;20,0808;-66,6171;-4,3975;-12,3244
2940;282,6536;35,9589;20,9345;-69,9906;-4,5748;-12,8079
2970;296,1684;37,3554;21,8079;-73,4471;-4,7555;-13,3004
3000;310,0029;38,7823;22,7008;-76,9864;-4,9396;-13,8017
3030;324,1572;40,2396;23,6132;-80,6085;-5,1272;-14,3119
3060;338,6313;41,7273;24,5453;-84,3136;-5,3183;-14,8310
3090;353,4251;43,2454;25,4970;-88,1015;-5,5127;-15,3589
3120;368,5388;44,7939;26,4683;-91,9722;-5,7105;-15,8957
3150;383,9722;46,3730;27,4592;-95,9257;-5,9118;-16,4412
3180;399,7254;47,9826;28,4698;-99,9621;-6,1165;-16,9956
3210;415,7983;49,6227;29,5000;-104,0813;-6,3245;-17,5587
3240;432,1911;51,2934;30,5498;-108,2833;-6,5360;-18,1306
3270;448,9036;52,9948;31,6194;-112,5681;-6,7509;-18,7113
3300;465,9359;54,7267;32,7086;-116,9357;-6,9691;-19,3007
3330;483,2880;56,4894;33,8174;-121,3861;-7,1907;-19,8988
3360;500,9599;58,2827;34,9460;-125,9193;-7,4157;-20,5055
3390;518,9516;60,1067;36,0943;-130,5353;-7,6441;-21,1210
3420;537,2631;61,9616;37,2623;-135,2340;-7,8759;-21,7451
3450;555,8944;63,8472;38,4501;-140,0154;-8,1110;-22,3778
3480;574,8455;65,7636;39,6576;-144,8796;-8,3494;-23,0192
3510;594,1164;67,7108;40,8848;-149,8266;-8,5913;-23,6692
3540;613,7071;69,6890;42,1318;-154,8562;-8,8364;-24,3277
3570;633,6176;71,6980;43,3986;-159,9686;-9,0850;-24,9948
3600;653,8479;73,7380;44,6851;-165,1638;-9,3368;-25,6705
3630;674,3980;75,8090;45,9915;-170,4416;-9,5920;-26,3547
3660;695,2680;77,9110;47,3177;-175,8021;-9,8505;-27,0474
3690;716,4577;80,0440;48,6637;-181,2453;-10,1123;-27,7486
3720;737,9673;82,2081;50,0295;-186,7712;-10,3775;-28,4582
3750;759,7967;84,4033;51,4152;-192,3797;-10,6460;-29,1763
3780;781,9459;86,6297;52,8207;-198,0709;-10,9177;-29,9028
3810;804,4150;88,8872;54,2461;-203,8448;-11,1928;-30,6378
3840;827,2038;91,1759;55,6913;-209,7013;-11,4712;-31,3811
3870;850,3125;93,4958;57,1565;-215,6404;-11,7529;-32,1328
3900;873,7411;95,8470;58,6415;-221,6622;-12,0378;-32,8928
3930;897,4894;98,2296;60,1465;-227,7665;-12,3260;-33,6612
3960;921,5576;100,6434;61,6714;-233,9535;-12,6175;-34,4379
3990;945,9457;103,0887;63,2163;-240,2231;-12,9123;-35,2228
4020;970,6536;105,5653;64,7810;-246,5753;-13,2104;-36,0161
4050;995,6813;108,0734;66,3658;-253,0100;-13,5117;-36,8176
4080;1021,0289;110,6129;67,9705;-259,5274;-13,8162;-37,6273
4110;1046,6963;113,1840;69,5953;-266,1272;-14,1240;-38,4452
4140;1072,6836;115,7866;71,2400;-272,8097;-14,4351;-39,2713
4170;1098,9907;118,4208;72,9047;-279,5747;-14,7493;-40,1055
4200;1125,6177;121,0866;74,5895;-286,4222;-15,0668;-40,9479
4230;1152,5646;123,7841;76,2943;-293,3522;-15,3876;-41,7985
4260;1179,8313;126,5133;78,0192;-300,3647;-15,7115;-42,6571
4290;1207,4179;129,2742;79,7641;-307,4598;-16,0387;-43,5238
4320;1235,3243;132,0668;81,5291;-314,6373;-16,3691;-44,3985
4350;1263,5506;134,8913;83,3142;-321,8973;-16,7026;-45,2813
4380;1292,0968;137,7475;85,1194;-329,2398;-17,0394;-46,1721
4410;1320,9629;140,6357;86,9447;-336,6648;-17,3794;-47,0709
4440;1350,1489;143,5558;88,7902;-344,1722;-17,7225;-47,9776
4470;1379,6547;146,5078;90,6558;-351,7621;-18,0688;-48,8923
4500;1409,4804;149,4918;92,5415;-359,4343;-18,4183;-49,8149
4530;1439,6260;152,5079;94,4474;-367,1891;-18,7710;-50,7454
4560;1470,0915;155,5560;96,3736;-375,0262;-19,1268;-51,6838
4590;1500,8769;158,6362;98,3199;-382,9457;-19,4857;-52,6300
4620;1531,9822;161,7485;100,2864;-390,9476;-19,8478;-53,5841
4650;1563,4073;164,8931;102,2732;-399,0319;-20,2131;-54,5460
4680;1595,1524;168,0698;104,2802;-407,1986;-20,5815;-55,5156
